3;VE 3000 - LJUBLJANA CENTER;3;VO 3003 - LJUBLJANA VIČ-RUDNIK 1;19889;19738;151;99,24
3;VE 3000 - LJUBLJANA CENTER;4;VO 3004 - LJUBLJANA VIČ-RUDNIK 2;12570;12492;78;99,38
3;VE 3000 - LJUBLJANA CENTER;5;VO 3005 - LJUBLJANA VIČ-RUDNIK 3;12589;12513;76;99,40
3;VE 3000 - LJUBLJANA CENTER;6;VO 3006 - LJUBLJANA VIČ-RUDNIK 4;16847;16730;117;99,31
3;VE 3000 - LJUBLJANA CENTER;7;VO 3007 - LJUBLJANA CENTER;14464;14398;66;99,54
3;VE 3000 - LJUBLJANA CENTER;8;VO 3008 - LJUBLJANA ŠIŠKA 1;10282;10238;44;99,57
3;VE 3000 - LJUBLJANA CENTER;9;VO 3009 - LJUBLJANA ŠIŠKA 2;13490;13411;79;99,41
3;VE 3000 - LJUBLJANA CENTER;10;VO 3010 - LJUBLJANA ŠIŠKA 3;12867;12801;66;99,49
3;VE 3000 - LJUBLJANA CENTER;11;VO 3011 - LJUBLJANA ŠIŠKA 4;17813;17680;133;99,25
4;VE 4000 - LJUBLJANA BEŽIGRAD;0;VE 4000 - LJUBLJANA BEŽIGRAD;153513;152350;1163;99,24
4;VE 4000 - LJUBLJANA BEŽIGRAD;1;VO 4001 - KOČEVJE;9043;8942;101;98,88
4;VE 4000 - LJUBLJANA BEŽIGRAD;2;VO 4002 - RIBNICA-DOBREPOLJE;10410;10301;109;98,95
4;VE 4000 - LJUBLJANA BEŽIGRAD;3;VO 4003 - GROSUPLJE;12083;12009;74;99,39
4;VE 4000 - LJUBLJANA BEŽIGRAD;4;VO 4004 - IVANČNA GORICA;10094;10001;93;99,08
4;VE 4000 - LJUBLJANA BEŽIGRAD;5;VO 4005 - LJUBLJANA MOSTE-POLJE 1;17195;17063;132;99,23
4;VE 4000 - LJUBLJANA BEŽIGRAD;6;VO 4006 - LJUBLJANA MOSTE-POLJE 2;10349;10262;87;99,16
4;VE 4000 - LJUBLJANA BEŽIGRAD;7;VO 4007 - LJUBLJANA MOSTE-POLJE 3;14149;14037;112;99,21
4;VE 4000 - LJUBLJANA BEŽIGRAD;8;VO 4008 - LJUBLJANA BEŽIGRAD 1;18032;17932;100;99,45
4;VE 4000 - LJUBLJANA BEŽIGRAD;9;VO 4009 - LJUBLJANA BEŽIGRAD 2;15300;15211;89;99,42
4;VE 4000 - LJUBLJANA BEŽIGRAD;10;VO 4010 - DOMŽALE 1;19179;19014;165;99,14
4;VE 4000 - LJUBLJANA BEŽIGRAD;11;VO 4011 - DOMŽALE 2;17679;17578;101;99,43
5;VE 5000 - CELJE;0;VE 5000 - CELJE;151792;150432;1360;99,10
5;VE 5000 - CELJE;1;VO 5001 - ŠENTJUR;12251;12159;92;99,25
5;VE 5000 - CELJE;2;VO 5002 - CELJE 1;20901;20692;209;99,00
5;VE 5000 - CELJE;3;VO 5003 - CELJE 2;14808;14693;115;99,22
5;VE 5000 - CELJE;4;VO 5004 - ŽALEC 1;13266;13151;115;99,13
5;VE 5000 - CELJE;5;VO 5005 - ŽALEC 2;14238;14100;138;99,03
5;VE 5000 - CELJE;6;VO 5006 - MOZIRJE;10174;10095;79;99,22
5;VE 5000 - CELJE;7;VO 5007 - VELENJE 1;11030;10935;95;99,14
